LanguageName,URL
Soh supplementary private use area-b u+10fffe,https://esolangs.org/wiki/Soh_supplementary_private_use_area-b_u%2B10fffe
§þłĳŧȉǩȃɖəɹ,https://esolangs.org/wiki/%C2%A7%C3%BE%C5%82%C4%B3%C5%A7%C8%89%C7%A9%C8%83%C9%96%C9%99%C9%B9
ʘ,https://esolangs.org/wiki/%CA%98
0widthnonjoiner,https://esolangs.org/wiki/0widthnonjoiner
^English,https://esolangs.org/wiki/%5EEnglish
?,https://esolangs.org/wiki/%3F
"∞ bits, ℵ0 Bytes","https://esolangs.org/wiki/%E2%88%9E_bits,_%E2%84%B50_Bytes"
!,https://esolangs.org/wiki/!
!한국어,https://esolangs.org/wiki/!%ED%95%9C%EA%B5%AD%EC%96%B4
!English,https://esolangs.org/wiki/!English
!Romanian,https://esolangs.org/wiki/!Romanian
!!!,https://esolangs.org/wiki/!!!
!!!!,https://esolangs.org/wiki/!!!!
!!!Batch,https://esolangs.org/wiki/!!!Batch
!!brainfeed,https://esolangs.org/wiki/!!brainfeed
!!brainfeed++,https://esolangs.org/wiki/!!brainfeed%2B%2B
!!Fuck,https://esolangs.org/wiki/!!Fuck
!@$%^&*()+,https://esolangs.org/wiki/!@$%25%5E%26*()%2B
!aBF',https://esolangs.org/wiki/!aBF%27
!aoQ):,https://esolangs.org/wiki/!aoQ):
!I!M!P!O!S!S!I!B!L!E!,https://esolangs.org/wiki/!I!M!P!O!S!S!I!B!L!E!
!Tautologos,https://esolangs.org/wiki/!Tautologos
Sharp flat,https://esolangs.org/wiki/Sharp_flat
HashHell,https://esolangs.org/wiki/HashHell
$,https://esolangs.org/wiki/$
$!,https://esolangs.org/wiki/$!
$+-?,https://esolangs.org/wiki/$%2B-%3F
$ $,https://esolangs.org/wiki/$_$
$3COND,https://esolangs.org/wiki/$3COND
$tonePits,https://esolangs.org/wiki/$tonePits
'N-DCNC,https://esolangs.org/wiki/%27N-DCNC
(()),https://esolangs.org/wiki/(())
((?)?)?,https://esolangs.org/wiki/((%3F)%3F)%3F
"(,!)","https://esolangs.org/wiki/(,!)"
"(,)","https://esolangs.org/wiki/(,)"
( ),https://esolangs.org/wiki/(_)
(),https://esolangs.org/wiki/()
Symbols,https://esolangs.org/wiki/Symbols
()NEST(),https://esolangs.org/wiki/()NEST()
()s,https://esolangs.org/wiki/()s
(0),https://esolangs.org/wiki/(0)
(1) Grace sent you a message,https://esolangs.org/wiki/(1)_Grace_sent_you_a_message
(?!),https://esolangs.org/wiki/(%3F!)
(HA)pple waITING,https://esolangs.org/wiki/(HA)pple_waITING
(SIASL)²,https://esolangs.org/wiki/(SIASL)%C2%B2
(P™TM™)™,https://esolangs.org/wiki/(P%E2%84%A2TM%E2%84%A2)%E2%84%A2
( ͡° ͜ʖ ͡°)fuck,https://esolangs.org/wiki/(_%CD%A1%C2%B0_%CD%9C%CA%96_%CD%A1%C2%B0)fuck
(0123456789!,https://esolangs.org/wiki/(0123456789!
),https://esolangs.org/wiki/)
Starfish,https://esolangs.org/wiki/Starfish
*brainfuck,https://esolangs.org/wiki/*brainfuck
*W,https://esolangs.org/wiki/*W
+-),https://esolangs.org/wiki/%2B-)
