LanguageName,URL
!,https://esolangs.org/wiki/%21
!!,https://esolangs.org/wiki/%21%21
!!!,https://esolangs.org/wiki/%21%21%21
!!!!,https://esolangs.org/wiki/%21%21%21%21
!!!Batch,https://esolangs.org/wiki/%21%21%21Batch
!!brainfeed,https://esolangs.org/wiki/%21%21brainfeed
!!brainfeed++,https://esolangs.org/wiki/%21%21brainfeed%2B%2B
!!Fuck,https://esolangs.org/wiki/%21%21Fuck
!!SuperPrime,https://esolangs.org/wiki/%21%21SuperPrime
!(),https://esolangs.org/wiki/%21%28%29
!@$%^&*()+,https://esolangs.org/wiki/%21%40%24%25%5E%26%2A%28%29%2B
!@$%^&*()+=,https://esolangs.org/wiki/%21%40%24%25%5E%26%2A%28%29%2B%3D
!aBF',https://esolangs.org/wiki/%21aBF%27
!aoQ):,https://esolangs.org/wiki/%21aoQ%29%3A
!brainfuck,https://esolangs.org/wiki/%21brainfuck
!English,https://esolangs.org/wiki/%21English
!I!M!P!O!S!S!I!B!L!E!,https://esolangs.org/wiki/%21I%21M%21P%21O%21S%21S%21I%21B%21L%21E%21
!lyricly☭demote☭establish☭communism!,https://esolangs.org/wiki/%21lyricly%E2%98%ADdemote%E2%98%ADestablish%E2%98%ADcommunism%21
!MORE,https://esolangs.org/wiki/%21MORE
!or,https://esolangs.org/wiki/%21or
!Romanian,https://esolangs.org/wiki/%21Romanian
!Tautologos (Archived),https://esolangs.org/wiki/%21Tautologos%20%28Archived%29
!Мова,https://esolangs.org/wiki/%21%D0%9C%D0%BE%D0%B2%D0%B0
!한국어,https://esolangs.org/wiki/%21%ED%95%9C%EA%B5%AD%EC%96%B4
"""quote",https://esolangs.org/wiki/%22quote
$,https://esolangs.org/wiki/%24
$ $,https://esolangs.org/wiki/%24%20%24
$!,https://esolangs.org/wiki/%24%21
$+-?,https://esolangs.org/wiki/%24%2B-%3F
$3COND,https://esolangs.org/wiki/%243COND
$tonePits,https://esolangs.org/wiki/%24tonePits
%^2^-1,https://esolangs.org/wiki/%25%5E2%5E-1
&,https://esolangs.org/wiki/%26
&-/,https://esolangs.org/wiki/%26-/
&brainfuck,https://esolangs.org/wiki/%26brainfuck
'interbasic,https://esolangs.org/wiki/%27interbasic
'N-DCNC,https://esolangs.org/wiki/%27N-DCNC
'Python' is not recognized,https://esolangs.org/wiki/%27Python%27%20is%20not%20recognized
"'Python' is not recognized as an internal or external command, operable program or batch file.",https://esolangs.org/wiki/%27Python%27%20is%20not%20recognized%20as%20an%20internal%20or%20external%20command%2C%20operable%20program%20or%20batch%20file.
"'xxx' is not recognized as an internal or external command, operable program or batch file.",https://esolangs.org/wiki/%27xxx%27%20is%20not%20recognized%20as%20an%20internal%20or%20external%20command%2C%20operable%20program%20or%20batch%20file.
(,https://esolangs.org/wiki/%28
( ),https://esolangs.org/wiki/%28%20%29
( ͡° ͜ʖ ͡°)fuck,https://esolangs.org/wiki/%28%20%CD%A1%C2%B0%20%CD%9C%CA%96%20%CD%A1%C2%B0%29fuck
(()),https://esolangs.org/wiki/%28%28%29%29
((?)?)?,https://esolangs.org/wiki/%28%28%3F%29%3F%29%3F
(),https://esolangs.org/wiki/%28%29
()()(()),https://esolangs.org/wiki/%28%29%28%29%28%28%29%29
()NEST(),https://esolangs.org/wiki/%28%29NEST%28%29
()s,https://esolangs.org/wiki/%28%29s
